"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
1.732137066E1,1.763476379E-5,3.206320689E-4
1.736203476E1,-2.436220500E-5,-4.429491819E-4
1.740269895E1,-1.596281189E-5,-2.902329434E-4
1.744336177E1,-1.596281028E-5,-2.902329143E-4
1.748402584E1,1.763476219E-5,3.206320398E-4
1.752469016E1,1.763476219E-5,3.206320398E-4
1.756532174E1,8.359759522E-7,1.519956277E-5
1.760598568E1,1.763476379E-5,3.206320689E-4
1.764664261E1,8.359743515E-7,1.519953366E-5
1.768730616E1,-1.596281189E-5,-2.902329434E-4
1.772795377E1,-7.563418767E-6,-1.375167049E-4
1.776861498E1,2.603415531E-5,4.733482783E-4
1.780928773E1,8.359743515E-7,1.519953366E-5
1.784994922E1,9.235367470E-6,1.679157722E-4
1.789060189E1,8.359759522E-7,1.519956277E-5
1.793126519E1,-1.596281189E-5,-2.902329434E-4
1.797193195E1,8.359743515E-7,1.519953366E-5
1.801259300E1,-2.436220500E-5,-4.429491819E-4
1.805325837E1,-1.596281189E-5,-2.902329434E-4
1.809394992E1,8.359759522E-7,1.519956277E-5
1.813460752E1,-3.276159812E-5,-5.956654204E-4
1.817526754E1,-4.956038276E-5,-9.010978683E-4
1.821592663E1,-7.563418767E-6,-1.375167049E-4
1.825658151E1,-1.596281189E-5,-2.902329434E-4
1.829724594E1,-1.596281028E-5,-2.902329143E-4
1.833791131E1,8.359759522E-7,1.519956277E-5
1.837859648E1,8.359743515E-7,1.519953366E-5
1.841925521E1,-7.563417166E-6,-1.375166757E-4
1.845991061E1,-1.596281189E-5,-2.902329434E-4
1.850057031E1,9.235367470E-6,1.679157722E-4
1.854122689E1,8.359759522E-7,1.519956277E-5
1.858190999E1,9.235370671E-6,1.679158304E-4
1.862257278E1,8.359743515E-7,1.519953366E-5
1.866322821E1,1.763476059E-5,3.206320107E-4
1.870388161E1,8.359759522E-7,1.519956277E-5
1.874454305E1,-7.563417166E-6,-1.375166757E-4
1.878519640E1,9.235367470E-6,1.679157722E-4
1.882584837E1,-2.436220500E-5,-4.429491819E-4
1.886653405E1,8.359759522E-7,1.519956277E-5
1.890718882E1,8.359759522E-7,1.519956277E-5
1.894784498E1,-2.436220500E-5,-4.429491819E-4
1.898849336E1,-1.596281189E-5,-2.902329434E-4
1.902918774E1,-2.436220500E-5,-4.429491819E-4
1.906982579E1,-7.563418767E-6,-1.375167049E-4
1.911048650E1,1.763476219E-5,3.206320398E-4
1.915114377E1,9.235367470E-6,1.679157722E-4
1.919177856E1,-1.596281028E-5,-2.902329143E-4
1.923246298E1,-7.563418767E-6,-1.375167049E-4
1.927312495E1,2.603415851E-5,4.733483365E-4
1.931377990E1,9.235369071E-6,1.679158013E-4
1.935445747E1,-7.563418767E-6,-1.375167049E-4
1.939510069E1,8.359743515E-7,1.519953366E-5
1.943576410E1,4.283294635E-5,7.787808427E-4
1.947643349E1,3.443355163E-5,6.260645750E-4
1.951709669E1,1.763476059E-5,3.206320107E-4
1.955775368E1,1.252546179E-5,2.277356689E-4
1.959839563E1,1.299547846E-5,2.362814266E-4
1.963907783E1,4.596082144E-6,8.356512990E-5
1.967972590E1,-3.803310974E-6,-6.915110862E-5
1.972039291E1,-3.803310974E-6,-6.915110862E-5
1.976104529E1,4.596083745E-6,8.356515900E-5
1.980171957E1,-3.803309373E-6,-6.915107951E-5
1.984237456E1,1.299547526E-5,2.362813684E-4
1.988302587E1,-1.220270249E-5,-2.218673180E-4
1.992368388E1,1.299547526E-5,2.362813684E-4
1.996434438E1,1.299547526E-5,2.362813684E-4
2.000498992E1,1.299547526E-5,2.362813684E-4
2.004563704E1,4.596083745E-6,8.356515900E-5
2.008632566E1,2.139487158E-5,3.889976651E-4
2.012697915E1,-3.803310974E-6,-6.915110862E-5
2.016763062E1,1.299547846E-5,2.362814266E-4
2.020829043E1,-1.220270409E-5,-2.218673471E-4
2.024893888E1,1.299547686E-5,2.362813975E-4
2.028960667E1,4.596083745E-6,8.356515900E-5
2.033026735E1,4.659305254E-5,8.471464098E-4
2.037094722E1,1.299547526E-5,2.362813684E-4
2.041159311E1,2.139486838E-5,3.889976069E-4
2.045225751E1,2.139487318E-5,3.889976942E-4
2.049291711E1,-3.803309373E-6,-6.915107951E-5
2.053356721E1,2.979426470E-5,5.417139037E-4
2.057422460E1,1.299547846E-5,2.362814266E-4
2.061488377E1,-1.220270409E-5,-2.218673471E-4
2.065554063E1,4.596082144E-6,8.356512990E-5
2.069620385E1,3.819365942E-5,6.944301713E-4
